gene_symbol,entrez_gene,uniprot,ensembl_gene,in_string,network_degree
PPP1R12A,4659,O14974,ENSG00000058272,TRUE,0
PPP1R2,5504,P41236,ENSG00000184203,TRUE,0
PPP1R9B,84687,Q96SB3,ENSG00000108819,TRUE,0
PPP3R1,5534,P63098,ENSG00000221823,TRUE,2
PQBP1,10084,O60828,ENSG00000102103,TRUE,0
PRCP,5547,P42785,ENSG00000137509,TRUE,1
PRDX1,5052,Q06830,ENSG00000117450,TRUE,2
PRDX3,10935,P30048,ENSG00000165672,TRUE,3
PRDX5,25824,P30044,ENSG00000126432,TRUE,1
PRDX6,9588,P30041,ENSG00000117592,TRUE,2
PRKAB1,5564,Q9Y478,ENSG00000111725,TRUE,3
PRKAR1A,5573,P10644,ENSG00000108946,TRUE,0
PRKRA,8575,O75569,ENSG00000180228,TRUE,0
PSIP1,11168,O75475,ENSG00000164985,TRUE,0
PSMD9,5715,O00233,ENSG00000110801,TRUE,0
PSME1,5720,Q06323,ENSG00000092010,TRUE,1
PSME2,5721,Q9UL46,ENSG00000100911,TRUE,1
PTGDS,5730,P41222,ENSG00000107317,TRUE,0
PTPN1,5770,P18031,ENSG00000196396,TRUE,0
PTPN6,5777,P29350,ENSG00000111679,TRUE,3
PTPRM,5797,P28827,ENSG00000173482,TRUE,0
PVR,5817,P15151,ENSG00000073008,TRUE,0
PXN,5829,P49023,ENSG00000089159,TRUE,5
QDPR,5860,P09417,ENSG00000151552,TRUE,1
RAB6A,5870,P20340,ENSG00000175582,TRUE,1
RABGAP1L,9910,B7ZAP0;Q5R372,ENSG00000152061,FALSE,0
RAD23B,5887,P54727,ENSG00000119318,TRUE,1
RBKS,64080,Q9H477,ENSG00000171174,TRUE,0
RHOC,389,P08134,ENSG00000155366,TRUE,1
RIGI,23586,O95786,ENSG00000107201,TRUE,2
RILP,83547,Q96NA2,ENSG00000167705,TRUE,0
RNF41,10193,Q9H4P4,ENSG00000181852,TRUE,1
RP2,6102,O75695,ENSG00000102218,TRUE,0
RRM2B,50484,Q7LG56,ENSG00000048392,TRUE,4
RUVBL1,8607,Q9Y265,ENSG00000175792,TRUE,3
RWDD1,51389,Q9H446,ENSG00000111832,TRUE,1
S100A11,6282,P31949,ENSG00000163191,TRUE,0
S100A4,6275,P26447,ENSG00000196154,TRUE,0
SCAMP3,10067,O14828,ENSG00000116521,TRUE,0
SCARB2,950,Q14108,ENSG00000138760,TRUE,4
SCLY,51540,Q96I15,ENSG00000132330,TRUE,1
SCP2,6342,P22307,ENSG00000116171,TRUE,2
SCRN1,9805,Q12765,ENSG00000136193,FALSE,0
SEPTIN9,10801,Q9UHD8,ENSG00000184640,TRUE,0
SERPINB1,1992,P30740,ENSG00000021355,TRUE,0
SERPINB6,5269,P35237,ENSG00000124570,TRUE,0
SERPINB9,5272,P50453,ENSG00000170542,TRUE,0
SETMAR,6419,Q53H47,ENSG00000170364,TRUE,0
SF3B4,10262,Q15427,ENSG00000143368,TRUE,1
SHMT1,6470,P34896,ENSG00000176974,TRUE,0
SIAE,54414,Q9HAT2,ENSG00000110013,TRUE,0
SIRPA,140885,P78324,ENSG00000198053,TRUE,1
SIRT2,22933,Q8IXJ6,ENSG00000068903,TRUE,4
SIRT5,23408,Q9NXA8,ENSG00000124523,TRUE,3
SLC16A1,6566,P53985,ENSG00000155380,TRUE,1
SLC27A4,10999,Q6P1M0,ENSG00000167114,TRUE,0
SMAD5,4090,Q99717,ENSG00000113658,TRUE,1
SMARCA2,6595,P51531,ENSG00000080503,TRUE,0
SMOC1,64093,Q9H4F8,ENSG00000198732,TRUE,1
SNAP23,8773,O00161,ENSG00000092531,TRUE,3
SNAP29,9342,O95721,ENSG00000099940,TRUE,4
SNX9,51429,Q9Y5X1,ENSG00000130340,TRUE,1
SOD1,6647,P00441,ENSG00000142168,TRUE,5
SOD2,6648,P04179,ENSG00000112096,TRUE,4
SORD,6652,Q00796,ENSG00000140263,TRUE,2
SORT1,6272,Q99523,ENSG00000134243,TRUE,5
SPARC,6678,P09486,ENSG00000113140,TRUE,2
SRC,6714,P12931,ENSG00000197122,TRUE,12
SRP14,6727,P37108,ENSG00000140319,TRUE,0
SRPK2,6733,P78362,ENSG00000135250,TRUE,0
SSB,6741,P05455,ENSG00000138385,TRUE,2
SSC5D,284297,A1L4H1,ENSG00000179954,FALSE,0
STAMBP,10617,O95630,ENSG00000124356,TRUE,2
STAT5B,6777,P51692,ENSG00000173757,TRUE,1
STIP1,10963,P31948,ENSG00000168439,TRUE,6
STK24,8428,Q9Y6E0,ENSG00000102572,TRUE,2
STX16,8675,O14662,ENSG00000124222,TRUE,5
STX4,6810,Q12846,ENSG00000103496,TRUE,5
STX8,9482,Q9UNK0,ENSG00000170310,TRUE,3
SUGT1,10910,Q9Y2Z0,ENSG00000165416,TRUE,0
SULT1A1,6817,P50225,ENSG00000196502,TRUE,0
